X,Departamento,Municipio,Barrio,Direccion
1,Antioquia,Medellín,Alfonso Lopez,Calle 91 A # 71-35
2,Antioquia,Medellín,Altos de San juan,Calle 43 # 115A-131
3,Antioquia,Medellín,America,Carrera 65A # 48C-26
4,Antioquia,Medellín,Aranjuez,Calle 93 # 50B-02
5,Antioquia,Medellín,AV nutibara,Transversal 39B # 73-23
6,Antioquia,Medellín,Avenida las Palmas,Carrera 38 # 26-289
7,Antioquia,Medellín,Barrio Cristobal,Carrera 88 # 39-53
8,Antioquia,Medellín,Belencito,Carrera 92 # 34C-12
9,Antioquia,Medellín,Bomboná,Calle 49 # 43-44
10,Antioquia,Medellín,Boston ,Calle 55 # 34-52
11,Antioquia,Medellín,Buenos Aires,Carrera 35 # 48 A-57
12,Antioquia,Medellín,Calasanz,Carrea 82 # 51-20
13,Antioquia,Medellín,Campo Valdes,Calle 77 # 47-49
14,Antioquia,Medellín,Castilla,Calle 98 # 69-41
15,Antioquia,Medellín,Central,Calle 81 #44-37
16,Antioquia,Medellín,Chagualo,Calle 61 # 56A-17
17,Antioquia,Medellín,Colombia,Calle 49B # 67A-32
18,Antioquia,Medellín,Conquistadores,Carrera 66 A # 34B-32/36
19,Antioquia,Medellín,El Velodromo,Carrera 78 # 45A-75
20,Antioquia,Medellín,Esmeraldas,Calle 86 # 43B-01
21,Antioquia,Medellín,Floresta,Carrera 80 # 46-48
22,Antioquia,Medellín,Florida,Calle 71 # 66-85
23,Antioquia,Medellín,Florida Nueva,Calle 44 A #71-86
24,Antioquia,Medellín,Gardel Plaza,Calle 72 # 44-96
25,Antioquia,Medellín,Hotel Nutibara,Carrera 51 # 52A-24
26,Antioquia,Medellín,La Milagrosa,Calle 42 # 31-50
27,Antioquia,Medellín,Laureles,Carrera 78 A # 34A -14
28,Antioquia,Medellín,los Colores,Carrera 73 # 51A -10
29,Antioquia,Medellín,Parque,Carrera 49 # 55-11
30,Antioquia,Medellín,Parque Bolivar,Carrera 49 # 55-11
31,Antioquia,Medellín,Prado Centro,Carrera 49 # 61-53
32,Antioquia,Medellín,Prado Hospital,Carrera 50 D #66-16
33,Antioquia,Medellín,San Cayetano,Carrera 51 # 88-44
34,Antioquia,Medellín,San cristobal,Carrera 131 # 60-75
35,Antioquia,Medellín,San Javier,Carrera 98 # 41-55
36,Antioquia,Medellín,San Joaquin,Carrera 65 # 42-29
37,Antioquia,Medellín,San Joaquin 2,Calle 44 # 69-67
38,Antioquia,Medellín,Santa Lucía,Calle 47F # 86-33
39,Antioquia,Medellín,Santa Monica,Calle 43 # 92-105
40,Antioquia,Medellín,Santa Rita,Calle 35B # 84B-40
41,Antioquia,Medellín,Sevilla,Calle 69 # 51D-59
42,Antioquia,Medellín,Simon Bolivar,Carrera 82 # 43B-19
43,Antioquia,Medellín,Suramericana,Carrera 65A # 48C-26
44,Antioquia,Medellín,Tarapaca,Calle 44 # 80-23/31
45,Antioquia,Medellín,Villa Hermosa,Calle 61 # 42-39
46,Antioquia,Santa fe de Antioquia,La chinca,Calle 10 # 12-40/12-48
47,Antioquia,Santa fe de Antioquia,Santa Lucia,Calle 9 # 2-50
48,Antioquia,Barbosa,Parque,Carrera 14 # 11 - 00
49,Antioquia,Bello,Arboletes,Avenida 42B # 51-51
50,Antioquia,Bello,Cabañas,Carrera 51 # 25-23
51,Antioquia,Bello,Fontidueño,Diagonal 44 # 32-127
52,Antioquia,Bello,Marco Fidel,Calle 51 # 51-26
53,Antioquia,Bello,Maria Goretti,Calle 65 # 64-32
54,Antioquia,Bello,Mesa,Calle 58 # 54-61/65
55,Antioquia,Bello,Niquia,Diagonal 62 #40B -41
56,Antioquia,Bello,Obrero,Carrera 53 # 36-20
57,Antioquia,Bello,Paris,Carrera 72 # 20D-54
58,Antioquia,Bello,Perez,Calle 52 C # 57-38
59,Antioquia,Bello,Prado,Calle 54 # 46-63
60,Antioquia,El carmen de viboral,La Alhambra,Carrera 31 # 34-8
61,Antioquia,El carmen de viboral,Sector El Divino Niño,Calle 27 # 30-58
62,Antioquia,Copacabana,Asunción ,Carrera 57 # 50-11
63,Antioquia,Copacabana,San Juan,Calle 50 # 39-126
64,Antioquia,Copacabana,Vereda el Noral,Autopista #te Km14 Vereda el #al Copacabana
65,Antioquia,Don matias,Parque,Calle 30 # 30-30
66,Antioquia,Envigado,Las Palmas,Kilometro 17 Vía Las Palmas Predio 664 peaje.
67,Antioquia,Envigado,Vereda Pantanillo - Sector El Cebadero,Vereda Pantanillo Variante Las Palmas Km 7
68,Antioquia,Girardota,La Santana ,Carrera 16 # 7-140
69,Antioquia,Girardota,Parque,Calle 6 # 14-29
70,Antioquia,Granada,Parque Principal,Carrera 21 # 20-31
71,Antioquia,Guarne,San Francisco,Carrera 51 # 44-12 int 201
72,Antioquia,Guarne,Santa Ana,Carrera 52 # 52-44
73,Antioquia,La ceja,Barrio San Judas,Mall plaza Cantarrana Locales 1 y 2 vía San Antonio de Pereira-La ceja
74,Antioquia,La ceja,El Carmelo,Carrera 26 # 19-56
75,Antioquia,La ceja,San Cayetano,Carrera 20 # 24-56
76,Antioquia,La ceja,Sector Cuatro Esquinas,Carrera 20 # 12-52
77,Antioquia,La ceja,Sector Teatro Municipal,Carrera 22 # 17-24
78,Antioquia,La union,Parque Principal,Carrera 9 # 10-26
79,Antioquia,Marinilla,Bariloche,Calle 29 # 44A-11
80,Antioquia,Marinilla,La Dalia,Carrera 31 # 23-34
81,Antioquia,Marinilla,Las Margaritas,Calle 29 # 36-56
82,Antioquia,Marinilla,Parque Principal,Calle 30 # 30-36
83,Antioquia,Peñol,Sector 1,Calle 10 #11A-32
84,Antioquia,Retiro,Diagonal al Parque Principal,Calle 19 #19-47
85,Antioquia,Retiro,Vereda Villa Elena,Carrera 20 # 35-145
86,Antioquia,Rionegro,Barrio Santa Fe,Carrera 55A # 24-76
87,Antioquia,Rionegro,El Porvenir Primera Etapa,Carrera 65 # 41B-103
88,Antioquia,Rionegro,El Porvenir Sector El Carretero,Calle 47 # 65-23
89,Antioquia,Rionegro,Parque Principal,Calle 49 # 50-83
90,Antioquia,Rionegro,San Francisco,Carrera 46 # 51-69
91,Antioquia,Rionegro,Santa Ana,Calle 41 # 46-34
92,Antioquia,Rionegro,Sector Plaza de Mercado,Carrera 46 # 58-20
93,Antioquia,Rionegro,Urbanización Riogrande,Carrera 51 #40A-17
94,Antioquia,Rionegro,Vereda Barro Blanco,Cancha Sintética - vereda Barro Blanco
95,Antioquia,Rionegro,Vereda El Chipre - Sector La Amalita,Mall La Amalita
96,Antioquia,Rionegro,Vereda Sajonia,Mall Aerocentro Local 104
97,Antioquia,San jeronimo,La principal,Carrera 11 # 21-48
98,Antioquia,San pedro,Plaza Principal,Calle 49 # 49 A - 29/31
99,Antioquia,San vicente,Plaza de Mercado,Calle 26 AA # 34-102
100,Antioquia,Santa rosa de osos,El Palo,Carrera 28 # 27-46
101,Antioquia,El santuario,Parque Principal,Calle 50 # 49-37
102,Antioquia,Sonson,Barrio Centro,Calle 6 # 5-23/31
103,Antioquia,Sopetran,Parque,Calle 10 # 8-14
104,Antioquia,Yarumal,Epifanio,Carrera 20 # 16-34/42
105,Antioquia,Yarumal,La Caliente,Calle 21 # 20-37
106,Santander,Bucaramanga,Aurora,Calle 35 # 27-01
107,Santander,Bucaramanga,Cabecera,Carrera 36 # 48-65
108,Santander,Bucaramanga,San Alonso,Avenida Quebradaseca # 27-65
109,Santander,Bucaramanga,San Francisco,Calle 14 # 21-65
110,Santander,Floridablanca,Niza,Carrera 27A # 122-57
111,Santander,Piedecuesta,San Rafael,Calle 8 # 12-84
112,Caldas,Manizales,Alta Suiza,Transversal 72 # 20-29
113,Caldas,Manizales,Avenida Santander,Carrera 23 #46-91
114,Caldas,Manizales,Cambulos,Carrera 43 # 65B-15
115,Caldas,Manizales,Centro,Carrera 23 # 15-45
116,Caldas,Manizales,Chipre,Calle 12 # 13A-41
117,Caldas,Manizales,El Campin,Carrera 28 # 48A-41
118,Caldas,Manizales,El Carmen,Calle 18 # 26-44
119,Caldas,Manizales,La Francia,Carrera 15 # 4B-65
120,Caldas,Manizales,Linares,Calle 33A # 24-2
121,Caldas,Manizales,Palermo,Calle 66A # 26-50
122,Caldas,Manizales,San José,Carrera 19 # 29-42
123,Caldas,Anserma,Sector Galería ,Carrera 5 # 10-53
124,Caldas,Chinchina,La Estación,Calle 13 # 6-11
125,Caldas,Neira,Calle Real,Carrera 10 # 8-34
126,Caldas,Riosucio,Sector Parque la Candelaria,Carrera 7 # 6-15
127,Caldas,Supia,Centro,Calle 33 # 7-35/45
128,Caldas,Villamaria,Centro ,Carrera 6 # 9-51
129,Caldas,Villamaria,Pradera,Calle 6 # 11-54
130,Caldas,Viterbo,Centro,Calle 8 # 6-22
131,Risaralda,Pereira,Álamos,Calle 12 # 27-116
132,Risaralda,Pereira,Alfonso López,Carrera 11 # 2E-76 Local 08-10
133,Risaralda,Pereira,América,Carrera 3 # 15-29
134,Risaralda,Pereira,Belmonte,Avenida 30 de Agosto # 87-220
135,Risaralda,Pereira,Buenos Aires,Avenida 30 de Agosto # 34-38
136,Risaralda,Pereira,Centro,Carrera 9 # 20-25
137,Risaralda,Pereira,Ciudad Boquía - Parque Industrial,Calle 63 # 5-22
138,Risaralda,Pereira,La Rebeca,Calle 2 # 12-24.
139,Risaralda,Pereira,Pinares,Calle 14 # 19-70
140,Risaralda,Pereira,Poblado 2,Carrera 28B y 29 Calle 33 y 33B
141,Risaralda,Pereira,Primero de Mayo,Carrera 7 # 30-02
142,Risaralda,Pereira,Providencia,Avenida Sur #22-23
143,Risaralda,Pereira,San Joaquín,Calle 78 # 29-20
144,Risaralda,Pereira,Sector Galicia,Portal del Campo Manzana-1
145,Risaralda,Pereira,Urbanización Portoalegre,Carrera 49 #85-25
146,Risaralda,Pereira,Urbanización Residencial Altavista,Calle 80 # 29-16
147,Risaralda,Pereira,Venecia,Calle 41 # 8-39
148,Risaralda,Pereira,Vereda Tribunas,Kilometro 7 Vía Pereira - Armenia
149,Risaralda,Pereira,Villa Verde,Calle 33 # 36-50 Local 1 y 2
150,Risaralda,Dosquebradas,Avenida Ferrocarril,Calle 20 # 10-18
151,Risaralda,Dosquebradas,Buenos Aires,Carrera 16 # 42-27
152,Risaralda,Dosquebradas,Frailes,Carrera 43 B # 21-34
153,Risaralda,Dosquebradas,Guadalupe,Calle 38 # 11-51.
154,Risaralda,Dosquebradas,La Capilla,Carrera 16 # 65-46
155,Risaralda,Dosquebradas,La Pradera,Carrera 21 # 23-33
156,Risaralda,Dosquebradas,Los Molinos ,Calle 44 # 44F-03
157,Risaralda,Dosquebradas,Valher,Carrera 17 #10-75
158,Risaralda,La virginia,Sector Plaza de Mercado,Transversal 7 N° 7-139
159,Risaralda,Marsella,Sector Galerías,Calle 9 #12-45
160,Risaralda,Santa rosa de cabal,Galería,Carrera 13 # 14-25
161,Risaralda,Santa rosa de cabal,La Hermosa,Carrera 23 # 21-02
162,Cundinamarca,"Bogotá, DC",12 De Octubre,Carrera 55 # 73-35
163,Cundinamarca,"Bogotá, DC",20 de Julio ,Calle 27 sur # 9-29
164,Cundinamarca,"Bogotá, DC",Alcalá,Calle 136 # 45A-44
165,Cundinamarca,"Bogotá, DC",Alhambra,Carrera 50 # 118-46
166,Cundinamarca,"Bogotá, DC",Alqueria,Calle 44 sur # 52C-70
167,Cundinamarca,"Bogotá, DC",Andes,Calle 98 A # 60-92
168,Cundinamarca,"Bogotá, DC",Antiguo Contry,Calle 82 # 16A-24
169,Cundinamarca,"Bogotá, DC",Barrancas,Carrera 7f # 154-07
170,Cundinamarca,"Bogotá, DC",Batan,Avenida Carrera 45 # 123-75
171,Cundinamarca,"Bogotá, DC",Belalcazar,Carrera 30 # 49A-64
172,Cundinamarca,"Bogotá, DC",Bella Suiza,Avenida Calle 127 # 7-77
173,Cundinamarca,"Bogotá, DC",Boyacá,Carrera 72 # 71A-69
174,Cundinamarca,"Bogotá, DC",Boyaca Real,Carrera 77 # 65A-04/12
175,Cundinamarca,"Bogotá, DC",Brasil,Carrera 88C # 54C-87 Sur
176,Cundinamarca,"Bogotá, DC",Caminos del Norte,Carrera 9A # 192-60 Local 6
177,Cundinamarca,"Bogotá, DC",Capuchina,Calle 17 # 12-68
178,Cundinamarca,"Bogotá, DC",Carvajal,Carrera 69 # 31-24 Sur
179,Cundinamarca,"Bogotá, DC",Castellana,Avenida Carrera 50 # 94C-18
180,Cundinamarca,"Bogotá, DC",Cayetano,Calle 41 sur F # 80 H-26
181,Cundinamarca,"Bogotá, DC",Cedritos,Carrera 7A # 140-31 Local 105
182,Cundinamarca,"Bogotá, DC",Cedro Golf,Calle 147 # 9-53
183,Cundinamarca,"Bogotá, DC",Cedro Salazar,Calle 152 # 7-64
184,Cundinamarca,"Bogotá, DC",Centenarío,Carrera 26B # 28-27 sur
185,Cundinamarca,"Bogotá, DC",Chapinero,Calle 57 # 14-69
186,Cundinamarca,"Bogotá, DC",Chapinero Norte,Carrera 8 # 63-27
187,Cundinamarca,"Bogotá, DC",Chapinero Sur Occidental,Calle 57 # 14-69
188,Cundinamarca,"Bogotá, DC",Chico,Carrera 11 # 93A-65
189,Cundinamarca,"Bogotá, DC",Ciudad Jardín Sur,Carrera 10 #13-89 sur
190,Cundinamarca,"Bogotá, DC",Class,Carrera 80A # 65-36 sur
191,Cundinamarca,"Bogotá, DC",Concepcion Norte,Calle 67 # 14A-10
192,Cundinamarca,"Bogotá, DC",Contador,Carrera 18 # 136A-14
193,Cundinamarca,"Bogotá, DC",El Carmen,Carrera 100 #16i-25
194,Cundinamarca,"Bogotá, DC",El Progreso,Calle 3 # 19A-36
195,Cundinamarca,"Bogotá, DC",El Recuerdo,Calle 3 # 19A-36
196,Cundinamarca,"Bogotá, DC",El Rubi,Calle 23 A # 96F-50
